number,age,sex,trial,score,score2,age2
1,Under40,Man,New,Under70,58,38
2,Under40,Woman,New,Under70,45,36
3,Over40,Woman,Retry,Under70,62,40
4,Over40,Man,New,Over70,82,43
5,Over40,Woman,New,Over70,73,48
6,Under40,Man,New,Over70,73,36
7,Under40,Woman,New,Under70,67,37
8,Under40,Man,New,Over70,73,33
9,Under40,Woman,Retry,Under70,67,38
10,Under40,Man,New,Over70,72,35
11,Over40,Man,Retry,Under70,67,40
12,Over40,Woman,New,Under70,89,40
13,Over40,Woman,New,Over70,73,42
14,Over40,Man,New,Under70,57,44
15,Over40,Woman,New,Over70,76,41
16,Over40,Woman,New,Over70,70,56
17,Over40,Woman,Retry,Over70,76,49
18,Under40,Man,New,Over70,81,39
19,Under40,Man,New,Over70,78,35
20,Over40,Woman,New,Under70,60,43
21,Under40,Woman,Retry,Under70,64,31
22,Over40,Man,New,Over70,73,40
23,Under40,Man,New,Over70,82,38
24,Under40,Man,Retry,Over70,72,32
25,Over40,Woman,New,Over70,71,44
26,Over40,Man,New,Over70,72,49
27,Over40,Man,New,Under70,60,48
28,Over40,Woman,New,Under70,55,45
29,Over40,Woman,New,Under70,62,41
30,Under40,Man,New,Over70,82,29
31,Over40,Man,New,Over70,78,43
32,Under40,Man,Retry,Over70,73,39
33,Under40,Woman,New,Over70,82,39
34,Under40,Woman,New,Under70,68,37
35,Under40,Woman,New,Under70,60,39
36,Over40,Woman,New,Under70,67,41
37,Over40,Man,Retry,Under70,66,44
38,Under40,Man,New,Over70,86,34
39,Under40,Woman,Retry,Over70,75,29
40,Under40,Man,Retry,Over70,75,36
41,Over40,Woman,New,Under70,45,40
42,Under40,Man,Retry,Under70,64,35
43,Under40,Woman,New,Over70,89,39
44,Over40,Man,New,Over70,76,41
45,Under40,Woman,New,Over70,80,31
46,Over40,Woman,New,Under70,60,43
47,Over40,Woman,New,Under70,62,41
48,Over40,Woman,New,Under70,67,42
49,Over40,Woman,Retry,Under70,65,42
50,Under40,Man,New,Over70,78,38
51,Under40,Man,Retry,Under70,69,38
52,Over40,Man,New,Over70,73,49
53,Under40,Woman,New,Over70,85,37
54,Under40,Woman,New,Over70,84,39
55,Under40,Man,New,Over70,75,37
56,Under40,Woman,Retry,Under70,61,39
57,Under40,Woman,Retry,Under70,53,39
58,Under40,Woman,Retry,Under70,69,37
59,Under40,Woman,New,Over70,87,39
60,Under40,Woman,Retry,Under70,45,38
61,Under40,Man,New,Over70,92,36
62,Over40,Woman,Retry,Under70,52,49
63,Over40,Woman,New,Under70,52,41
64,Under40,Woman,New,Over70,78,34
65,Over40,Woman,New,Under70,51,50
66,Under40,Woman,Retry,Under70,66,34
67,Under40,Woman,New,Over70,77,32
68,Over40,Woman,New,Under70,65,44
69,Under40,Man,Retry,Under70,65,36
70,Over40,Man,New,Over70,79,47
71,Under40,Woman,New,Over70,70,36
72,Under40,Woman,Retry,Under70,64,26
73,Over40,Woman,New,Under70,58,41
74,Under40,Woman,New,Over70,71,34
75,Over40,Man,Retry,Under70,67,42
76,Under40,Man,New,Over70,76,38
77,Over40,Woman,New,Under70,67,48
78,Over40,Woman,Retry,Over70,74,48
79,Over40,Woman,New,Under70,58,40
80,Over40,Woman,Retry,Under70,53,43
81,Over40,Man,New,Under70,68,40
82,Over40,Woman,Retry,Under70,54,42
83,Under40,Man,New,Over70,73,34
84,Under40,Woman,New,Over70,82,37
85,Over40,Woman,Retry,Under70,66,45
86,Under40,Man,New,Over70,86,37
87,Over40,Man,New,Under70,59,46
88,Over40,Woman,Retry,Under70,62,42
89,Under40,Woman,New,Over70,83,39
90,Under40,Man,New,Over70,71,37
91,Over40,Woman,New,Under70,64,45
92,Over40,Woman,Retry,Over70,73,43
93,Over40,Man,New,Under70,56,41
94,Under40,Woman,New,Under70,64,36
95,Over40,Man,New,Under70,54,41
96,Over40,Woman,Retry,Under70,64,42
97,Under40,Woman,New,Over70,75,38
98,Under40,Woman,Retry,Under70,53,39
99,Over40,Man,New,Under70,62,41
100,Over40,Man,New,Over70,77,42
